id,date,amount,description,category,recur
11,2020-09-28,0.1,pony,FOOD/DRINK,1
2,2020-09-28,-1.0,farts,OTHER,0
4,2020-09-28,44.0,choo choo,TRAVEL,0
5,2020-09-28,99.99,big banana holder for my armchair,HOUSEHOLD,0
7,2020-09-28,-2.0,food,FOOD/DRINK,0
8,2020-09-28,3.0,pee,FOOD/DRINK,0
1,2020-09-28,-100.0,cherriez,FOOD/DRINK,0
9,2020-09-28,-1.0,poop,FOOD/DRINK,0
10,2020-09-28,-0.1,horse,FOOD/DRINK,1
6,2020-10-01,-1.0,dodo,FOOD/DRINK,0
10,2021-09-28,-0.1,horse,FOOD/DRINK,1
11,2021-09-28,0.1,pony,FOOD/DRINK,1
10,2022-09-28,-0.1,horse,FOOD/DRINK,1
11,2022-09-28,0.1,pony,FOOD/DRINK,1
10,2023-09-28,-0.1,horse,FOOD/DRINK,1
11,2023-09-28,0.1,pony,FOOD/DRINK,1
10,2024-09-28,-0.1,horse,FOOD/DRINK,1
11,2024-09-28,0.1,pony,FOOD/DRINK,1
11,2025-09-28,0.1,pony,FOOD/DRINK,1
10,2025-09-28,-0.1,horse,FOOD/DRINK,1
